work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,id
2025,Mid-level,Full-time,Data Scientist,132600,US,100,US,Medium (51–500 employees),1
2025,Mid-level,Full-time,Data Engineer,108000,US,100,US,Medium (51–500 employees),8411
2025,Mid-level,Full-time,Data Engineer,69620,GB,0,GB,Medium (51–500 employees),8412
2025,Senior-level,Full-time,Data Lead,268000,US,0,US,Medium (51–500 employees),8787
2025,Senior-level,Full-time,Systems Engineer,163000,US,0,US,Medium (51–500 employees),8968
2025,Mid-level,Full-time,Researcher,96342,CA,0,CA,Medium (51–500 employees),8969
2025,Mid-level,Full-time,Engineer,115000,US,0,US,Medium (51–500 employees),10435
2025,Mid-level,Full-time,Associate,121000,US,0,US,Medium (51–500 employees),10438
2025,Mid-level,Full-time,Data Analyst,156000,US,0,US,Medium (51–500 employees),11082
2025,Mid-level,Full-time,Data Analyst,128500,US,0,US,Medium (51–500 employees),11083
2025,Junior,Full-time,Analyst,70261,CA,0,CA,Medium (51–500 employees),11088
2025,Junior,Full-time,Analyst,39347,CA,0,CA,Medium (51–500 employees),11089
2025,Senior-level,Full-time,Manager,150000,US,0,US,Medium (51–500 employees),11090
2025,Senior-level,Full-time,Software Developer,168000,US,0,US,Medium (51–500 employees),12271
2025,Senior-level,Full-time,Product Designer,234000,US,100,US,Medium (51–500 employees),12274
2025,Senior-level,Full-time,Product Designer,163000,US,100,US,Medium (51–500 employees),12275
2025,Senior-level,Full-time,Engineering Manager,197000,US,0,US,Medium (51–500 employees),12546
2025,Mid-level,Full-time,Engineer,161000,US,0,US,Medium (51–500 employees),12547
2025,Mid-level,Full-time,Engineer,113000,US,0,US,Medium (51–500 employees),12548
2025,Senior-level,Full-time,Product Manager,271000,US,0,US,Medium (51–500 employees),12549
2025,Senior-level,Full-time,Product Manager,183000,US,0,US,Medium (51–500 employees),12550
2025,Junior,Full-time,Data Scientist,120000,US,0,US,Medium (51–500 employees),12919
2025,Junior,Full-time,Data Scientist,85100,US,0,US,Medium (51–500 employees),12920
2025,Senior-level,Full-time,Data Scientist,159000,US,0,US,Medium (51–500 employees),12921
2025,Senior-level,Full-time,Engineer,284500,US,0,US,Medium (51–500 employees),12991
2025,Senior-level,Full-time,Data Scientist,291000,US,0,US,Medium (51–500 employees),13103
2025,Senior-level,Full-time,Analytics Engineer,178000,US,100,US,Medium (51–500 employees),13353
2025,Senior-level,Full-time,Analytics Engineer,111000,US,100,US,Medium (51–500 employees),13354
2025,Junior,Full-time,Data Analyst,64481,GB,0,GB,Medium (51–500 employees),13753
2025,Director,Full-time,Head of Machine Learning,250000,US,0,US,Medium (51–500 employees),13756
2025,Director,Full-time,Head of Machine Learning,220000,US,0,US,Medium (51–500 employees),13757
2025,Mid-level,Full-time,Data Engineer,164100,US,0,US,Medium (51–500 employees),13758
2025,Mid-level,Full-time,Data Engineer,138590,US,0,US,Medium (51–500 employees),13759
2025,Mid-level,Full-time,Data Engineer,51052,IT,0,IT,Medium (51–500 employees),13760
2025,Mid-level,Full-time,Manager,112655,US,0,US,Medium (51–500 employees),63855
2025,Senior-level,Full-time,Machine Learning Engineer,235000,CA,100,CA,Medium (51–500 employees),14304
2025,Senior-level,Full-time,Machine Learning Engineer,157000,CA,100,CA,Medium (51–500 employees),14305
2025,Senior-level,Full-time,Engineer,161000,US,0,US,Medium (51–500 employees),14576
2025,Senior-level,Full-time,Software Engineer,134600,US,0,US,Medium (51–500 employees),14758
2025,Senior-level,Full-time,Research Scientist,300000,US,0,US,Medium (51–500 employees),14759
2025,Senior-level,Full-time,Research Scientist,100000,US,0,US,Medium (51–500 employees),14760
2025,Junior,Full-time,Data Engineer,58218,AT,0,AT,Medium (51–500 employees),14761
2025,Senior-level,Full-time,Data Engineer,223400,US,0,US,Medium (51–500 employees),14763
2025,Senior-level,Full-time,Software Engineer,307100,US,100,US,Medium (51–500 employees),16131
2025,Mid-level,Full-time,AI Researcher,120000,US,0,US,Medium (51–500 employees),16135
2025,Mid-level,Full-time,AI Researcher,60000,US,0,US,Medium (51–500 employees),16136
2025,Senior-level,Full-time,Research Scientist,214500,CA,100,CA,Medium (51–500 employees),16137
2025,Senior-level,Full-time,Research Scientist,124300,CA,100,CA,Medium (51–500 employees),16138
2025,Mid-level,Full-time,Research Scientist,234500,US,0,US,Medium (51–500 employees),17681
2025,Mid-level,Full-time,Research Scientist,101900,US,0,US,Medium (51–500 employees),17682
2025,Mid-level,Full-time,Research Engineer,275000,US,100,US,Medium (51–500 employees),18051
2025,Mid-level,Full-time,Research Engineer,185000,US,100,US,Medium (51–500 employees),18052
2025,Senior-level,Full-time,Manager,146000,US,0,US,Medium (51–500 employees),18056
2025,Senior-level,Full-time,Data Scientist,155520,US,0,US,Medium (51–500 employees),19423
2025,Senior-level,Full-time,Data Scientist,103680,US,0,US,Medium (51–500 employees),19424
2025,Senior-level,Full-time,Data Engineer,110000,US,100,US,Medium (51–500 employees),19428
2025,Senior-level,Full-time,Data Engineer,189175,US,0,US,Medium (51–500 employees),19429
2025,Senior-level,Full-time,Data Engineer,104650,US,0,US,Medium (51–500 employees),19430
2025,Senior-level,Full-time,Data Governance Lead,130425,US,100,US,Medium (51–500 employees),19435
2025,Senior-level,Full-time,Software Developer,129639,US,100,US,Medium (51–500 employees),19526
2025,Mid-level,Full-time,Data Engineer,122177,US,0,US,Medium (51–500 employees),912
2025,Senior-level,Full-time,Software Engineer,220500,US,100,US,Medium (51–500 employees),19785
2025,Mid-level,Full-time,Manager,114677,CA,0,CA,Medium (51–500 employees),19790
2025,Senior-level,Full-time,AI Engineer,204900,US,0,US,Medium (51–500 employees),19792
2025,Mid-level,Full-time,Data Engineer,250000,US,0,US,Medium (51–500 employees),19965
2025,Senior-level,Full-time,Data Infrastructure Engineer,130000,US,0,US,Medium (51–500 employees),20154
2025,Mid-level,Full-time,Data Engineer,75500,US,0,US,Medium (51–500 employees),20238
2025,Senior-level,Full-time,Data Engineer,169700,US,0,US,Medium (51–500 employees),20239
2025,Senior-level,Full-time,Data Engineer,93300,US,0,US,Medium (51–500 employees),20240
2025,Mid-level,Full-time,Data Engineer,141600,US,100,US,Medium (51–500 employees),20435
2025,Junior,Full-time,Data Analyst,55000,US,0,US,Medium (51–500 employees),20508
2025,Director,Full-time,Executive,119598,US,0,US,Medium (51–500 employees),20511
2025,Director,Full-time,Executive,64399,US,0,US,Medium (51–500 employees),20512
2025,Senior-level,Full-time,Analyst,144600,US,0,US,Medium (51–500 employees),20523
2025,Senior-level,Full-time,Analyst,96400,US,0,US,Medium (51–500 employees),20524
